Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road Width,Road Type,Posted,Amenities,Category,Type,Latitude,Longitude
"Semi-Furnished House : House For Sale In Sitapaila, Kathmandu","Ramkot, Sitapaila, Kathmandu",Kathmandu,24000000,4,4,2.5,1,East,2075,510,4 Aana,13 Feet , Blacktopped,1 month ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking']",Residential,Sale,27.70702619,85.34879298
"Newly Constructed : House For Sale In Imadol, Lalitpur","Sital height, Imadol, Lalitpur",Lalitpur,22000000,7,4,3.5,2,South,2076,981,4.2 Aana,13 Feet , Gravelled,4 months ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']",Residential,Sale,27.75346086,85.35265482
"House For Sale In Pepsicola, Kathmandu","Pepsicola, Kathmandu",Kathmandu,58500000,6,6,3,2,East,2076,318,6.5 Aana,16 Feet , Blacktopped,1 month ago,"['Parking', 'Garage']",Residential,Sale,27.69572632,85.29988858
"House For Sale In Imadol, Lalitpur","Bojepokhari, Imadol, Lalitpur",Lalitpur,18500000,4,3,2.5,1,East,2076,596,3 Aana,13 Feet , Gravelled,1 month ago,"['Lawn', 'Balcony', 'Fencing', 'Drainage', 'Water Supply', 'Water Tank', 'Store Room']",Residential,Sale,27.71220424,85.32667234
"Bungalow : House For Sale In Bhaktapur, Bhaktapur","Gamcha, Bhaktapur, Bhaktapur",Bhaktapur,32500000,4,4,2,4,South,2017,374,7 Aana,20 Feet , Paved,1 month ago,"['Parking', 'Garage', 'Fencing', 'Frontyard', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Wifi', 'Water Tank', 'Water Well', 'Solar Water', 'TV Cable']",Residential,Sale,27.69080792,85.30714137
"House On Sell Dhapasi, Near By Grandi International Hospital. : House For Sale In Dhapasi, Kathmandu","Harihar Marg, Dhapasi, Dhapasi, Kathmandu",Kathmandu,40000000,8,4,3,5,South,2068,86,8.3 Sq. Feet,12 Feet , Concrete,1 month ago,"['Parking', 'Garage', 'Fencing', 'Frontyard', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Wifi', 'Water Tank', 'Water Well', 'Solar Water', 'TV Cable']",Residential,Sale,27.70794327,85.33361729
"Office Space For Rent In Radhe Radhe, Bhaktapur","Nearby Bhatbhateni Super market, Radhe Radhe, Bhaktapur",Bhaktapur,500000,0,2,3.5,2,West,2076,1.1K,2500 Sq. Feet,20 Feet , Blacktopped,4 months ago,"['Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking']",Commercial,Rent,27.74805024,85.31480325
"Dhapasi Height Commercil Building : House For Sale In Tokha, Kathmandu","Tokha, Kathmandu",Kathmandu,41000000,10,5,4,3,South East,2075,67,4 Aana,26 Feet , Blacktopped,1 month ago,['Parking'],Commercial,Sale,27.75195576,85.35549752
"Office Space For Rent At Imadol Prime Area : Flat For Rent In Mahalaxmi Nagarpalika, Lalitpur","Imadol Mahalaxmi 1, Mahalaxmi Nagarpalika, Lalitpur",Lalitpur,35000,,5,5,2,East,2013,106, 4 Aana,72 Feet , Blacktopped,1 month ago,"['Parking', 'Balcony', 'Garage', 'Fencing', 'Drainage', 'Water Supply', 'Water Well', 'Water Tank', 'CCTV', 'Electricity Backup']",Commercial,Rent,27.68218653,85.33606449
"Commercial Building Booking Open : Office Space For Rent In Dhapasi, Kathmandu","Nearby Deurali Janata Pharmaceutical, Dhapasi, Kathmandu",Kathmandu,70000,,4,4,1,East,2076,1K,6 Aana,25 Feet , Blacktopped,1 month ago,"['Parking', 'Balcony', 'Garage', 'Fencing', 'Drainage', 'Water Supply', 'Water Well', 'Water Tank', 'CCTV', 'Electricity Backup']",Commercial,Rent,27.73606206,85.33258951
"Newroad Office Space On Rent : Office Space For Rent In Newroad, Kathmandu","Newroad , Tebahal, Newroad, Kathmandu",Kathmandu,40000,,1,2,1,West,2002,111,3 Aana,14 Feet , Blacktopped,2 months ago,"['Water Supply', 'CCTV', 'Internet', 'Store Room']",Commercial,Rent,27.74242132,85.31105577
"New House On Rent : Business For Rent In Soltimode, Kathmandu","Red Cross Marg, Soltimode, Soltimode, Kathmandu",Kathmandu,225000,,3,2,2,West,2020,157,7 Aana,16 Feet , Blacktopped,3 months ago,"['Balcony', 'Backyard', 'Frontyard', 'Modular Kitchen', 'Drainage', 'Water Supply']",Commercial,Rent,27.73548566,85.33088441
"Semi Commercial Shared Office Space : Office Space For Rent In Buddhanagar, Kathmandu","Buddhanagar, Buddhanagar, Kathmandu",Kathmandu,20000,,1,1,1,South,2006,448,4 Aana,14 Feet , Paved,3 months ago,"['Garden', 'Wifi', 'Water Supply', 'Water Tank', 'Parking', 'Internet', 'Intercom']",Commercial,Rent,27.74912135,85.3332458
"House For Lease In Bharatpur, Chitwan","Bharatpur-4, Bharatpur, Chitwan",Chitwan,80000,6,3,3,10,South,2019,456,2700 Sq. Feet,26 Feet , Blacktopped,3 months ago,"['Frontyard', 'Balcony', 'Water Supply', 'Drainage', 'Parking']",Commercial,Rent,27.70570143,85.29143738
